6. 6. 6. 6. 6. 6. 5. 5. 4. 4. 4. 4. 3. 3. 3. 3. 3. 3. 2. 2.
6. 6. 6. 6. 6. 6. 6. 6. 5. 5. 4. 4. 4. 4. 3. 3. 3. 3. 3. 2.
6. 6. 6. 6. 6. 6. 6. 6. 6. 5. 5. 5. 4. 4. 4. 4. 3. 3. 3. 3.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 5. 5. 5. 4. 4. 4. 4. 3. 3. 3.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 5. 5. 5. 4. 4. 4. 4. 3. 3.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 5. 5. 5. 5. 4. 4. 4. 3.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 5. 5. 5. 4. 4. 4.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 5. 5. 5. 4. 4.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 5. 5. 5. 4.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 5. 5. 5.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 5. 5.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 5.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6.
6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6.
